,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28
148,5,145,KAN,Darian Kinnard,T,22,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Kentucky,College Stats
149,5,146,NYG,Micah McFadden,LB,22,2023,0,0,0,12,12,33,0,0,0,0,0,0,0,0,0,0,0,99,1,3.0,Indiana,College Stats
150,5,147,NYG,D.J. Davidson,DT,24,2023,0,0,0,2,2,20,0,0,0,0,0,0,0,0,0,0,0,8,,0.5,Arizona St.,College Stats
151,5,148,BUF,Khalil Shakir,WR,22,2023,0,0,0,8,8,31,0,0,0,0,0,1,10,0,49,772,3,1,,,Boise St.,College Stats
152,5,149,WAS,Cole Turner,TE,22,2023,0,0,0,1,1,22,0,0,0,0,0,0,0,0,13,143,0,1,,,Nevada,College Stats
153,5,150,HOU,Thomas Booker,DE,22,2022,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,11,,0.5,Stanford,College Stats
154,5,151,ATL,Tyler Allgeier,RB,22,2023,0,0,0,13,13,33,0,0,0,0,0,396,1718,7,34,332,2,2,,,BYU,College Stats
155,5,152,DEN,Delarrin Turner-Yell,S,22,2023,0,0,0,2,2,30,0,0,0,0,0,0,0,0,0,0,0,32,,,Oklahoma,College Stats
156,5,153,SEA,Riq Woolen,CB,23,2023,0,1,1,14,14,33,0,0,0,0,0,0,0,0,0,0,0,88,8,,Texas-San Antonio,College Stats
157,5,154,JAX,Snoop Conner,RB,22,2022,0,0,0,0,0,8,0,0,0,0,0,12,42,1,0,0,0,1,,,Mississippi,College Stats
158,5,155,DAL,Matt Waletzko,OL,22,2023,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,North Dakota,
159,5,156,CLE,Jerome Ford,RB,22,2023,0,0,0,6,6,30,0,0,0,0,0,212,825,4,44,319,5,1,,,Cincinnati,College Stats
160,5,157,TAM,Zyon McCollum,DB,23,2023,0,0,0,6,6,30,0,0,0,0,0,0,0,0,0,0,0,67,,,Sam Houston St.,
161,5,158,SEA,Tyreke Smith,DE,22,2023,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats
162,5,159,IND,Eric Johnson,DT,24,2023,0,0,0,2,2,28,0,0,0,0,0,0,0,0,0,0,0,7,,1.0,Missouri State,
163,5,160,LAC,Otito Ogbonnia,DT,20,2023,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,23,,,UCLA,College Stats
164,5,161,NOR,D'Marco Jackson,LB,24,2023,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,3,,,Appalachian St.,College Stats
165,5,162,DEN,Montrell Washington,WR,23,2023,0,0,0,0,0,21,0,0,0,0,0,5,30,0,4,2,0,,,,Samford,
166,5,163,TEN,Kyle Philips,WR,23,2023,0,0,0,3,3,13,0,0,0,0,0,0,0,0,23,259,0,,,,UCLA,College Stats
167,5,164,LAR,Kyren Williams,RB,22,2023,0,1,0,12,12,22,0,0,0,0,0,263,1283,12,41,282,3,2,,,Notre Dame,College Stats
168,5,165,MIN,Esezi Otomewo,DT,23,2022,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,,,Minnesota,College Stats
169,5,166,CIN,Tycen Anderson,S,23,2023,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,,,Toledo,College Stats
170,5,167,DAL,DaRon Bland,DB,23,2023,1,1,0,17,17,34,0,0,0,0,0,0,0,0,0,0,0,91,14,,Fresno St.,College Stats
171,5,168,CHI,Braxton Jones,OL,23,2023,0,0,1,13,13,28,0,0,0,0,0,0,0,0,0,0,0,1,,,Southern Utah,
172,5,169,MIN,Ty Chandler,RB,24,2023,0,0,0,4,4,20,0,0,0,0,0,108,481,3,21,159,0,,,,North Carolina,College Stats
